"Country","Airline","Country of Origin","Main Airports in country"
"Egypt","Emirates","United Arab Emirates","Egypt: Cairo International Airport (CAI)"
"Ethiopia","Emirates","United Arab Emirates","Ethiopia: Addis Ababa Bole International Airport (ADD)"
"Finland","Emirates","United Arab Emirates","Finland: Helsinki-Vantaa Airport (HEL)"
"France","Emirates","United Arab Emirates","France: Paris Charles de Gaulle Airport (CDG)"
"Georgia","Emirates","United Arab Emirates","Georgia: Tbilisi International Airport (TBS)"
"Germany","Emirates","United Arab Emirates","Germany: Frankfurt Airport (FRA)"
"Ghana","Emirates","United Arab Emirates","Ghana: Kotoka International Airport (ACC)"
"Greece","Emirates","United Arab Emirates","Greece: Athens International Airport (ATH)"
"Guyana","Emirates","United Arab Emirates","Guyana: Cheddi Jagan International Airport (GEO)"
"Hong Kong","Emirates","United Arab Emirates","Hong Kong: Hong Kong International Airport (HKG)"
"Hungary","Emirates","United Arab Emirates","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"India","Emirates","United Arab Emirates","India: Indira Gandhi International Airport (DEL)"
"Indonesia","Emirates","United Arab Emirates","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Iran","Emirates","United Arab Emirates","Iran: Imam Khomeini International Airport (IKA)"
"Ireland","Emirates","United Arab Emirates","Ireland: Dublin Airport (DUB)"
"Israel","Emirates","United Arab Emirates","Israel: Ben Gurion Airport (TLV)"
"Italy","Emirates","United Arab Emirates","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Ivory Coast","Emirates","United Arab Emirates","Ivory Coast: Félix-Houphouët-Boigny International Airport (ABJ)"
"Japan","Emirates","United Arab Emirates","Japan: Tokyo Haneda Airport (HND)"
"Jordan","Emirates","United Arab Emirates","Jordan: Queen Alia International Airport (AMM)"
"Kazakhstan","Emirates","United Arab Emirates","Kazakhstan: Almaty International Airport (ALA)"
"Kenya","Emirates","United Arab Emirates","Kenya: Jomo Kenyatta International Airport (NBO)"
"Kuwait","Emirates","United Arab Emirates","Kuwait: Kuwait International Airport (KWI)"
"Kyrgyzstan","Emirates","United Arab Emirates","Kyrgyzstan: Manas International Airport (FRU)"
"Lebanon","Emirates","United Arab Emirates","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Madagascar","Emirates","United Arab Emirates","Madagascar: Ivato International Airport (TNR)"
"Malaysia","Emirates","United Arab Emirates","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","Emirates","United Arab Emirates","Maldives: Velana International Airport (MLE)"
"Malta","Emirates","United Arab Emirates","Malta: Malta International Airport (MLA)"
"Mauritius","Emirates","United Arab Emirates","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Mexico","Emirates","United Arab Emirates","Mexico: Mexico City International Airport (MEX)"
"Mongolia","Emirates","United Arab Emirates","Mongolia: Chinggis Khaan International Airport (UBN)"
"Montenegro","Emirates","United Arab Emirates","Montenegro: Podgorica Airport (TGD)"
"Morocco","Emirates","United Arab Emirates","Morocco: Mohammed V International Airport (CMN)"
"Mozambique","Emirates","United Arab Emirates","Mozambique: Maputo International Airport (MPM)"
"Myanmar","Emirates","United Arab Emirates","Myanmar: Yangon International Airport (RGN)"
"Namibia","Emirates","United Arab Emirates","Namibia: Hosea Kutako International Airport (WDH)"
"Nepal","Emirates","United Arab Emirates","Nepal: Tribhuvan International Airport (KTM)"
"Netherlands","Emirates","United Arab Emirates","Netherlands: Amsterdam Airport Schiphol (AMS)"
"Nigeria","Emirates","United Arab Emirates","Nigeria: Murtala Muhammed International Airport (LOS)"
"Norway","Emirates","United Arab Emirates","Norway: Oslo Airport"
"Oman","Emirates","United Arab Emirates","Oman: Muscat International Airport (MCT)"
"Pakistan","Emirates","United Arab Emirates","Pakistan: Jinnah International Airport (KHI)"
"Philippines","Emirates","United Arab Emirates","Philippines: Ninoy Aquino International Airport (MNL)"
"Poland","Emirates","United Arab Emirates","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Emirates","United Arab Emirates","Portugal: Lisbon Portela Airport (LIS)"
"Qatar","Emirates","United Arab Emirates","Qatar: Hamad International Airport (DOH)"
"Russia","Emirates","United Arab Emirates","Russia: Sheremetyevo International Airport (SVO)"
"Rwanda","Emirates","United Arab Emirates","Rwanda: Kigali International Airport (KGL)"
"Saudi Arabia","Emirates","United Arab Emirates","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Senegal","Emirates","United Arab Emirates","Senegal: Blaise Diagne International Airport (DSS)"
"Serbia","Emirates","United Arab Emirates","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Seychelles","Emirates","United Arab Emirates","Seychelles: Seychelles International Airport (SEZ)"
"Singapore","Emirates","United Arab Emirates","Singapore: Singapore Changi Airport (SIN)"
"South Africa","Emirates","United Arab Emirates","South Africa: O. R. Tambo International Airport (JNB)"
"South Korea","Emirates","United Arab Emirates","South Korea: Incheon International Airport (ICN)"
"Spain","Emirates","United Arab Emirates","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Emirates","United Arab Emirates","Sri Lanka: Bandaranaike International Airport (CMB)"
"Sweden","Emirates","United Arab Emirates","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Emirates","United Arab Emirates","Switzerland: Zurich Airport (ZRH)"
"Taiwan","Emirates","United Arab Emirates","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Tanzania","Emirates","United Arab Emirates","Tanzania: Julius Nyerere International Airport (DAR)"
"Thailand","Emirates","United Arab Emirates","Thailand: Suvarnabhumi Airport (BKK)"
"Tunisia","Emirates","United Arab Emirates","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Emirates","United Arab Emirates","Turkey: Istanbul Airport (IST)"
"Uganda","Emirates","United Arab Emirates","Uganda: Entebbe International Airport (EBB)"
"Ukraine","Emirates","United Arab Emirates","Ukraine: Boryspil International Airport (KBP)"
"United Arab Emirates","Emirates","United Arab Emirates","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Emirates","United Arab Emirates","United Kingdom: London Heathrow Airport (LHR)"
"United States","Emirates","United Arab Emirates","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Uzbekistan","Emirates","United Arab Emirates","Uzbekistan: Tashkent International Airport (TAS)"
"Venezuela","Emirates","United Arab Emirates","Venezuela: Simón Bolívar International Airport (CCS)"
"Vietnam","Emirates","United Arab Emirates","Vietnam: Noi Bai International Airport (HAN)"
"Zambia","Emirates","United Arab Emirates","Zambia: Kenneth Kaunda International Airport (LUN)"
"Zimbabwe","Emirates","United Arab Emirates","Zimbabwe: Robert Gabriel Mugabe International Airport (HRE)"
"Albania","Flydubai","United Arab Emirates","Albania: Tirana International Airport (TIA)"
"Armenia","Flydubai","United Arab Emirates","Armenia: Zvartnots International Airport (EVN)"
"Austria","Flydubai","United Arab Emirates","Austria: Vienna International Airport (VIE)"
"Azerbaijan","Flydubai","United Arab Emirates","Azerbaijan: Heydar Aliyev International Airport (GYD)"
"Bahrain","Flydubai","United Arab Emirates","Bahrain: Bahrain International Airport (BAH)"
"Egypt","Flydubai","United Arab Emirates","Egypt: Cairo International Airport (CAI)"
"Georgia","Flydubai","United Arab Emirates","Georgia: Tbilisi International Airport (TBS)"
"Greece","Flydubai","United Arab Emirates","Greece: Athens International Airport (ATH)"
"Iran","Flydubai","United Arab Emirates","Iran: Imam Khomeini International Airport (IKA)"
"Iraq","Flydubai","United Arab Emirates","Iraq: Baghdad International Airport (BGW)"
"Jordan","Flydubai","United Arab Emirates","Jordan: Queen Alia International Airport (AMM)"
"Kuwait","Flydubai","United Arab Emirates","Kuwait: Kuwait International Airport (KWI)"
"Kyrgyzstan","Flydubai","United Arab Emirates","Kyrgyzstan: Manas International Airport (FRU)"
"Lebanon","Flydubai","United Arab Emirates","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Maldives","Flydubai","United Arab Emirates","Maldives: Velana International Airport (MLE)"
"Morocco","Flydubai","United Arab Emirates","Morocco: Mohammed V International Airport (CMN)"
"Oman","Flydubai","United Arab Emirates","Oman: Muscat International Airport (MCT)"
"Pakistan","Flydubai","United Arab Emirates","Pakistan: Jinnah International Airport (KHI)"
"Russia","Flydubai","United Arab Emirates","Russia: Sheremetyevo International Airport (SVO)"
"Saudi Arabia","Flydubai","United Arab Emirates","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Seychelles","Flydubai","United Arab Emirates","Seychelles: Seychelles International Airport (SEZ)"
"Sri Lanka","Flydubai","United Arab Emirates","Sri Lanka: Bandaranaike International Airport (CMB)"
"Sudan","Flydubai","United Arab Emirates","Sudan: Khartoum International Airport (KRT)"
"Sweden","Flydubai","United Arab Emirates","Sweden: Stockholm Arlanda Airport (ARN)"
"Syria","Flydubai","United Arab Emirates","Syria: Damascus International Airport (DAM)"
"Tajikistan","Flydubai","United Arab Emirates","Tajikistan: Dushanbe International Airport (DYU)"
"Tanzania","Flydubai","United Arab Emirates","Tanzania: Julius Nyerere International Airport (DAR)"
"Tunisia","Flydubai","United Arab Emirates","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Flydubai","United Arab Emirates","Turkey: Istanbul Airport (IST)"
"Uganda","Flydubai","United Arab Emirates","Uganda: Entebbe International Airport (EBB)"
"United Arab Emirates","Flydubai","United Arab Emirates","United Arab Emirates: Dubai International Airport (DXB)"
"Uzbekistan","Flydubai","United Arab Emirates","Uzbekistan: Tashkent International Airport (TAS)"
"Albania","Etihad","United Arab Emirates","Albania: Tirana International Airport (TIA)"
"Armenia","Etihad","United Arab Emirates","Armenia: Zvartnots International Airport (EVN)"
"Australia","Etihad","United Arab Emirates","Australia: Sydney Kingsford Smith Airport (SYD)"
"Austria","Etihad","United Arab Emirates","Austria: Vienna International Airport (VIE)"
"Azerbaijan","Etihad","United Arab Emirates","Azerbaijan: Heydar Aliyev International Airport (GYD)"
"Bahrain","Etihad","United Arab Emirates","Bahrain: Bahrain International Airport (BAH)"
"Belgium","Etihad","United Arab Emirates","Belgium: Brussels Airport (BRU)"
"Canada","Etihad","United Arab Emirates","Canada: Toronto Pearson International Airport (YYZ)"
"China","Etihad","United Arab Emirates","China: Beijing Capital International Airport (PEK)"
"France","Etihad","United Arab Emirates","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Etihad","United Arab Emirates","Germany: Frankfurt Airport (FRA)"
"Greece","Etihad","United Arab Emirates","Greece: Athens International Airport (ATH)"
"Hong Kong","Etihad","United Arab Emirates","Hong Kong: Hong Kong International Airport (HKG)"
"India","Etihad","United Arab Emirates","India: Indira Gandhi International Airport (DEL)"
"Indonesia","Etihad","United Arab Emirates","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Ireland","Etihad","United Arab Emirates","Ireland: Dublin Airport (DUB)"
"Israel","Etihad","United Arab Emirates","Israel: Ben Gurion Airport (TLV)"
"Italy","Etihad","United Arab Emirates","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Japan","Etihad","United Arab Emirates","Japan: Tokyo Haneda Airport (HND)"
"Kazakhstan","Etihad","United Arab Emirates","Kazakhstan: Almaty International Airport (ALA)"
"Kenya","Etihad","United Arab Emirates","Kenya: Jomo Kenyatta International Airport (NBO)"
"Kuwait","Etihad","United Arab Emirates","Kuwait: Kuwait International Airport (KWI)"
"Lebanon","Etihad","United Arab Emirates","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Malaysia","Etihad","United Arab Emirates","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","Etihad","United Arab Emirates","Maldives: Velana International Airport (MLE)"
"Mauritius","Etihad","United Arab Emirates","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Morocco","Etihad","United Arab Emirates","Morocco: Mohammed V International Airport (CMN)"
"Netherlands","Etihad","United Arab Emirates","Netherlands: Amsterdam Airport Schiphol (AMS)"
"New Zealand","Etihad","United Arab Emirates","New Zealand: Auckland Airport (AKL)"
"Oman","Etihad","United Arab Emirates","Oman: Muscat International Airport (MCT)"
"Pakistan","Etihad","United Arab Emirates","Pakistan: Jinnah International Airport (KHI)"
"Philippines","Etihad","United Arab Emirates","Philippines: Ninoy Aquino International Airport (MNL)"
"Qatar","Etihad","United Arab Emirates","Qatar: Hamad International Airport (DOH)"
"Russia","Etihad","United Arab Emirates","Russia: Sheremetyevo International Airport (SVO)"
"Saudi Arabia","Etihad","United Arab Emirates","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Serbia","Etihad","United Arab Emirates","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Singapore","Etihad","United Arab Emirates","Singapore: Singapore Changi Airport (SIN)"
"South Africa","Etihad","United Arab Emirates","South Africa: O. R. Tambo International Airport (JNB)"
"Spain","Etihad","United Arab Emirates","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Etihad","United Arab Emirates","Sri Lanka: Bandaranaike International Airport (CMB)"
"Sweden","Etihad","United Arab Emirates","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Etihad","United Arab Emirates","Switzerland: Zurich Airport (ZRH)"
"Taiwan","Etihad","United Arab Emirates","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Thailand","Etihad","United Arab Emirates","Thailand: Suvarnabhumi Airport (BKK)"
"Turkey","Etihad","United Arab Emirates","Turkey: Istanbul Airport (IST)"
"United Arab Emirates","Etihad","United Arab Emirates","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Etihad","United Arab Emirates","United Kingdom: London Heathrow Airport (LHR)"
"United States","Etihad","United Arab Emirates","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Uzbekistan","Etihad","United Arab Emirates","Uzbekistan: Tashkent International Airport (TAS)"
"Vietnam","Etihad","United Arab Emirates","Vietnam: Noi Bai International Airport (HAN)"
"Albania","Air Arabia","United Arab Emirates","Albania: Tirana International Airport (TIA)"
"Armenia","Air Arabia","United Arab Emirates","Armenia: Zvartnots International Airport (EVN)"
"Austria","Air Arabia","United Arab Emirates","Austria: Vienna International Airport (VIE)"
"Azerbaijan","Air Arabia","United Arab Emirates","Azerbaijan: Heydar Aliyev International Airport (GYD)"
"Bahrain","Air Arabia","United Arab Emirates","Bahrain: Bahrain International Airport (BAH)"
"Egypt","Air Arabia","United Arab Emirates","Egypt: Cairo International Airport (CAI)"
"Georgia","Air Arabia","United Arab Emirates","Georgia: Tbilisi International Airport (TBS)"
"Greece","Air Arabia","United Arab Emirates","Greece: Athens International Airport (ATH)"
"India","Air Arabia","United Arab Emirates","India: Indira Gandhi International Airport (DEL)"
"Iraq","Air Arabia","United Arab Emirates","Iraq: Baghdad International Airport (BGW)"
"Jordan","Air Arabia","United Arab Emirates","Jordan: Queen Alia International Airport (AMM)"
"Kazakhstan","Air Arabia","United Arab Emirates","Kazakhstan: Almaty International Airport (ALA)"
"Kyrgyzstan","Air Arabia","United Arab Emirates","Kyrgyzstan: Manas International Airport (FRU)"
"Lebanon","Air Arabia","United Arab Emirates","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Morocco","Air Arabia","United Arab Emirates","Morocco: Mohammed V International Airport (CMN)"
"Oman","Air Arabia","United Arab Emirates","Oman: Muscat International Airport (MCT)"
"Pakistan","Air Arabia","United Arab Emirates","Pakistan: Jinnah International Airport (KHI)"
"Russia","Air Arabia","United Arab Emirates","Russia: Sheremetyevo International Airport (SVO)"
"Saudi Arabia","Air Arabia","United Arab Emirates","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Sudan","Air Arabia","United Arab Emirates","Sudan: Khartoum International Airport (KRT)"
"Syria","Air Arabia","United Arab Emirates","Syria: Damascus International Airport (DAM)"
"Tajikistan","Air Arabia","United Arab Emirates","Tajikistan: Dushanbe International Airport (DYU)"
"Turkey","Air Arabia","United Arab Emirates","Turkey: Istanbul Airport (IST)"
"United Arab Emirates","Air Arabia","United Arab Emirates","United Arab Emirates: Dubai International Airport (DXB)"
"Uzbekistan","Air Arabia","United Arab Emirates","Uzbekistan: Tashkent International Airport (TAS)"
"Albania","British Airways","United Kingdom","Albania: Tirana International Airport (TIA)"
"Algeria","British Airways","United Kingdom","Algeria: Houari Boumediene Airport (ALG)"
"Antigua and Barbuda","British Airways","United Kingdom","Antigua and Barbuda: V. C. Bird International Airport (ANU)"
"Argentina","British Airways","United Kingdom","Argentina: Ministro Pistarini International Airport (EZE)"
"Armenia","British Airways","United Kingdom","Armenia: Zvartnots International Airport (EVN)"
"Aruba","British Airways","United Kingdom","Aruba: Queen Beatrix International Airport (AUA)"
"Australia","British Airways","United Kingdom","Australia: Sydney Kingsford Smith Airport (SYD)"
"Austria","British Airways","United Kingdom","Austria: Vienna International Airport (VIE)"
"Azerbaijan","British Airways","United Kingdom","Azerbaijan: Heydar Aliyev International Airport (GYD)"
"Bahamas","British Airways","United Kingdom","Bahamas: Lynden Pindling International Airport (NAS)"
"Bahrain","British Airways","United Kingdom","Bahrain: Bahrain International Airport (BAH)"
"Bangladesh","British Airways","United Kingdom","Bangladesh: Shahjalal International Airport (DAC)"
"Barbados","British Airways","United Kingdom","Barbados: Grantley Adams International Airport (BGI)"
"Belarus","British Airways","United Kingdom","Belarus: Minsk National Airport (MSQ)"
"Belgium","British Airways","United Kingdom","Belgium: Brussels Airport (BRU)"
"Belize","British Airways","United Kingdom","Belize: Philip S. W. Goldson International Airport (BZE)"
"Bermuda","British Airways","United Kingdom","Bermuda: L.F. Wade International Airport (BDA)"
"Bolivia","British Airways","United Kingdom","Bolivia: El Alto International Airport (LPB)"
"Bonaire","British Airways","United Kingdom","Bonaire: Flamingo International Airport (BON)"
"Bosnia and Herzegovina","British Airways","United Kingdom","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Brazil","British Airways","United Kingdom","Brazil: São Paulo/Guarulhos International Airport (GRU)"
"British Virgin Islands","British Airways","United Kingdom","British Virgin Islands: Terrance B. Lettsome International Airport (EIS)"
"Brunei","British Airways","United Kingdom","Brunei: Brunei International Airport (BWN)"
"Bulgaria","British Airways","United Kingdom","Bulgaria: Sofia Airport (SOF)"
"Canada","British Airways","United Kingdom","Canada: Toronto Pearson International Airport (YYZ)"
"Cayman Islands","British Airways","United Kingdom","Cayman Islands: Owen Roberts International Airport (GCM)"
"Chile","British Airways","United Kingdom","Chile: Arturo Merino Benítez International Airport (SCL)"
"China","British Airways","United Kingdom","China: Beijing Capital International Airport (PEK)"
"Colombia","British Airways","United Kingdom","Colombia: El Dorado International Airport (BOG)"
"Costa Rica","British Airways","United Kingdom","Costa Rica: Juan Santamaría International Airport (SJO)"
"Croatia","British Airways","United Kingdom","Croatia: Zagreb Airport (ZAG)"
"Cuba","British Airways","United Kingdom","Cuba: José Martí International Airport (HAV)"
"Curaçao","British Airways","United Kingdom","Curaçao: Curaçao International Airport (CUR)"
"Cyprus","British Airways","United Kingdom","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","British Airways","United Kingdom","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","British Airways","United Kingdom","Denmark: Copenhagen Airport (CPH)"
"Dominican Republic","British Airways","United Kingdom","Dominican Republic: Las Américas International Airport (SDQ)"
"Ecuador","British Airways","United Kingdom","Ecuador: Mariscal Sucre International Airport (UIO)"
"Egypt","British Airways","United Kingdom","Egypt: Cairo International Airport (CAI)"
"El Salvador","British Airways","United Kingdom","El Salvador: El Salvador International Airport (SAL)"
"Estonia","British Airways","United Kingdom","Estonia: Tallinn Airport (TLL)"
"Falkland Islands","British Airways","United Kingdom","Falkland Islands: Mount Pleasant Airport (MPN)"
"Faroe Islands","British Airways","United Kingdom","Faroe Islands: Vágar Airport (FAE)"
"Finland","British Airways","United Kingdom","Finland: Helsinki-Vantaa Airport (HEL)"
"France","British Airways","United Kingdom","France: Paris Charles de Gaulle Airport (CDG)"
"French Guiana","British Airways","United Kingdom","French Guiana: Cayenne-Félix Eboué Airport (CAY)"
"French Polynesia","British Airways","United Kingdom","French Polynesia: Faa'a International Airport (PPT)"
"Gambia","British Airways","United Kingdom","Gambia: Banjul International Airport (BJL)"
"Georgia","British Airways","United Kingdom","Georgia: Tbilisi International Airport (TBS)"
"Germany","British Airways","United Kingdom","Germany: Frankfurt Airport (FRA)"
"Ghana","British Airways","United Kingdom","Ghana: Kotoka International Airport (ACC)"
"Gibraltar","British Airways","United Kingdom","Gibraltar: Gibraltar International Airport (GIB)"
"Greece","British Airways","United Kingdom","Greece: Athens International Airport (ATH)"
"Grenada","British Airways","United Kingdom","Grenada: Maurice Bishop International Airport (GND)"
"Guatemala","British Airways","United Kingdom","Guatemala: La Aurora International Airport (GUA)"
"Guyana","British Airways","United Kingdom","Guyana: Cheddi Jagan International Airport (GEO)"
"Haiti","British Airways","United Kingdom","Haiti: Toussaint Louverture International Airport (PAP)"
"Hong Kong","British Airways","United Kingdom","Hong Kong: Hong Kong International Airport (HKG)"
"Hungary","British Airways","United Kingdom","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iceland","British Airways","United Kingdom","Iceland: Keflavík International Airport (KEF)"
"India","British Airways","United Kingdom","India: Indira Gandhi International Airport (DEL)"
"Indonesia","British Airways","United Kingdom","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Iran","British Airways","United Kingdom","Iran: Imam Khomeini International Airport (IKA)"
"Iraq","British Airways","United Kingdom","Iraq: Baghdad International Airport (BGW)"
"Ireland","British Airways","United Kingdom","Ireland: Dublin Airport (DUB)"
"Israel","British Airways","United Kingdom","Israel: Ben Gurion Airport (TLV)"
"Italy","British Airways","United Kingdom","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Ivory Coast","British Airways","United Kingdom","Ivory Coast: Félix-Houphouët-Boigny International Airport (ABJ)"
"Jamaica","British Airways","United Kingdom","Jamaica: Norman Manley International Airport (KIN)"
"Japan","British Airways","United Kingdom","Japan: Tokyo Haneda Airport (HND)"
"Jordan","British Airways","United Kingdom","Jordan: Queen Alia International Airport (AMM)"
"Kazakhstan","British Airways","United Kingdom","Kazakhstan: Almaty International Airport (ALA)"
"Kenya","British Airways","United Kingdom","Kenya: Jomo Kenyatta International Airport (NBO)"
"Kuwait","British Airways","United Kingdom","Kuwait: Kuwait International Airport (KWI)"
"Laos","British Airways","United Kingdom","Laos: Wattay International Airport (VTE)"
"Latvia","British Airways","United Kingdom","Latvia: Riga International Airport (RIX)"
"Lebanon","British Airways","United Kingdom","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Liberia","British Airways","United Kingdom","Liberia: Roberts International Airport (ROB)"
"Lithuania","British Airways","United Kingdom","Lithuania: Vilnius International Airport (VNO)"
"Luxembourg","British Airways","United Kingdom","Luxembourg: Luxembourg Airport (LUX)"
"Macao","British Airways","United Kingdom","Macao: Macau International Airport (MFM)"
"Madagascar","British Airways","United Kingdom","Madagascar: Ivato International Airport (TNR)"
"Malawi","British Airways","United Kingdom","Malawi: Lilongwe International Airport (LLW)"
"Malaysia","British Airways","United Kingdom","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","British Airways","United Kingdom","Maldives: Velana International Airport (MLE)"
"Malta","British Airways","United Kingdom","Malta: Malta International Airport (MLA)"
"Martinique","British Airways","United Kingdom","Martinique: Martinique Aimé Césaire International Airport (FDF)"
"Mauritius","British Airways","United Kingdom","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Mayotte","British Airways","United Kingdom","Mayotte: Dzaoudzi–Pamandzi International Airport (DZA)"
"Mexico","British Airways","United Kingdom","Mexico: Mexico City International Airport (MEX)"
"Moldova","British Airways","United Kingdom","Moldova: Chișinău International Airport (KIV)"
"Mongolia","British Airways","United Kingdom","Mongolia: Chinggis Khaan International Airport (UBN)"
"Montenegro","British Airways","United Kingdom","Montenegro: Podgorica Airport (TGD)"
"Morocco","British Airways","United Kingdom","Morocco: Mohammed V International Airport (CMN)"
"Mozambique","British Airways","United Kingdom","Mozambique: Maputo International Airport (MPM)"
"Myanmar","British Airways","United Kingdom","Myanmar: Yangon International Airport (RGN)"
"Namibia","British Airways","United Kingdom","Namibia: Hosea Kutako International Airport (WDH)"
"Nepal","British Airways","United Kingdom","Nepal: Tribhuvan International Airport (KTM)"
"Netherlands","British Airways","United Kingdom","Netherlands: Amsterdam Airport Schiphol (AMS)"
"New Caledonia","British Airways","United Kingdom","New Caledonia: La Tontouta International Airport (NOU)"
"New Zealand","British Airways","United Kingdom","New Zealand: Auckland Airport (AKL)"
"Nicaragua","British Airways","United Kingdom","Nicaragua: Augusto C. Sandino International Airport (MGA)"
"Nigeria","British Airways","United Kingdom","Nigeria: Murtala Muhammed International Airport (LOS)"
"North Macedonia","British Airways","United Kingdom","North Macedonia: Skopje International Airport (SKP)"
"Northern Ireland","British Airways","United Kingdom","Northern Ireland: Belfast International Airport (BFS)"
"Norway","British Airways","United Kingdom","Norway: Oslo Airport"
"Oman","British Airways","United Kingdom","Oman: Muscat International Airport (MCT)"
"Pakistan","British Airways","United Kingdom","Pakistan: Jinnah International Airport (KHI)"
"Panama","British Airways","United Kingdom","Panama: Tocumen International Airport (PTY)"
"Paraguay","British Airways","United Kingdom","Paraguay: Silvio Pettirossi International Airport (ASU)"
"Peru","British Airways","United Kingdom","Peru: Jorge Chávez International Airport (LIM)"
"Philippines","British Airways","United Kingdom","Philippines: Ninoy Aquino International Airport (MNL)"
"Poland","British Airways","United Kingdom","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","British Airways","United Kingdom","Portugal: Lisbon Portela Airport (LIS)"
"Qatar","British Airways","United Kingdom","Qatar: Hamad International Airport (DOH)"
"Romania","British Airways","United Kingdom","Romania: Henri Coandă International Airport (OTP)"
"Russia","British Airways","United Kingdom","Russia: Sheremetyevo International Airport (SVO)"
"Rwanda","British Airways","United Kingdom","Rwanda: Kigali International Airport (KGL)"
"Saint Kitts and Nevis","British Airways","United Kingdom","Saint Kitts and Nevis: Robert L. Bradshaw International Airport (SKB)"
"Saint Lucia","British Airways","United Kingdom","Saint Lucia: Hewanorra International Airport (UVF)"
"Saint Vincent and the Grenadines","British Airways","United Kingdom","Saint Vincent and the Grenadines: Argyle International Airport (SVD)"
"Samoa","British Airways","United Kingdom","Samoa: Faleolo International Airport (APW)"
"San Marino","British Airways","United Kingdom","San Marino: Federico Fellini International Airport (RMI)"
"Saudi Arabia","British Airways","United Kingdom","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Senegal","British Airways","United Kingdom","Senegal: Blaise Diagne International Airport (DSS)"
"Serbia","British Airways","United Kingdom","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Seychelles","British Airways","United Kingdom","Seychelles: Seychelles International Airport (SEZ)"
"Sierra Leone","British Airways","United Kingdom","Sierra Leone: Lungi International Airport (FNA)"
"Singapore","British Airways","United Kingdom","Singapore: Singapore Changi Airport (SIN)"
"Slovakia","British Airways","United Kingdom","Slovakia: Bratislava Airport (BTS)"
"Slovenia","British Airways","United Kingdom","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"Solomon Islands","British Airways","United Kingdom","Solomon Islands: Honiara International Airport (HIR)"
"South Africa","British Airways","United Kingdom","South Africa: O. R. Tambo International Airport (JNB)"
"South Korea","British Airways","United Kingdom","South Korea: Incheon International Airport (ICN)"
"Spain","British Airways","United Kingdom","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","British Airways","United Kingdom","Sri Lanka: Bandaranaike International Airport (CMB)"
"Suriname","British Airways","United Kingdom","Suriname: Johan Pengel International Airport (PBM)"
"Sweden","British Airways","United Kingdom","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","British Airways","United Kingdom","Switzerland: Zurich Airport (ZRH)"
"Taiwan","British Airways","United Kingdom","Taiwan: Taiwan Taoyuan International Airport (TPE)"
